@relation 'TrainData_10:BF:48:EF:14:2F'

@attribute 00:1e:58:06:3f:c3 numeric
@attribute 02:15:99:ec:dd:d5 numeric
@attribute 68:7f:74:01:51:a6 numeric
@attribute 00:18:0a:34:eb:0c numeric
@attribute 00:19:5b:be:5c:e9 numeric
@attribute e0:06:e6:56:0f:db numeric
@attribute 08:3e:8e:01:bc:6d numeric
@attribute 24:de:c6:4e:b0:80 numeric
@attribute Location{1752.35_963.551,1751.47_943.577,1750.43_923.605,1750.43_903.632,1751.65_883.676,1752_853.692,1752.34_833.722,1753.39_813.749,1753.74_803.755,1752.69_773.783,1752.34_763.789,1744.05_758.197,1734.31_755.948,1714.86_751.279,1685.59_744.878,1675.84_742.628,1645.88_741.233,1626.09_738.451,1596.18_736.185,1566.2_736.708,1536.35_734.271,1516.4_733.051,1486.46_731.657,1456.63_728.521,1406.77_725.211,1386.95_722.6,1369.56_731.65,1362.85_760.712,1363.9_770.657,1366.34_800.544,1367.56_830.491,1368.78_860.401,1369.3_890.339,1369.47_920.295,1368.26_960.165,1371.04_1010.03,1372.61_1039.99,1371.22_1069.91,1370.52_1089.82,1375.05_1129.55,1392.93_1136.05,1412.8_1134.14,1472.53_1129.79,1492.49_1128.74,1512.45_1127.52,1542.43_1127.52,1572.4_1128.22,1592.3_1126.83,1622.23_1125.08,1652.15_1123.52,1672.15_1123.69,1692.15_1123.34,1722.09_1122.29,1741.63_1118.32,1751.48_1101.93,1752.35_1061.96,1753.05_1031.97,1754.1_1012,1754.97_992.023,1758.97_962.295,1762.63_872.497,1764.2_842.56,1765.25_812.599,1764.55_792.624,1763.85_762.639,1752.71_746.433,1714.4_736.518,1694.44_735.297,1664.56_732.858,1634.75_729.724,1604.98_726.244,1575.32_721.9,1555.77_717.744,1526.01_714.09,1497_706.678,1487.1_705.286,1457.34_707.891,1437.5_705.98,1417.65_704.243,1402.22_715.87,1394.97_754.993,1390.63_784.633,1387.67_814.437,1385.93_834.333,1379.7_863.657,1375.21_883.118,1369.81_932.751,1365.99_962.478,1362.69_982.167,1358.36_1001.69,1353.68_1031.27,1362.36_1057.03,1382.22_1055.98,1411.95_1051.98,1431.88_1050.59,1451.69_1047.81,1471.33_1044.16,1501.24_1045.38,1521.21_1044.51,1560.75_1038.96,1620.59_1034.95,1640.41_1032.34,1668.81_1022.74,1685.92_1012.86,1688.53_993.036,1687.83_963.097,1686.09_933.155,1688.35_903.272,1691.81_883.684,1693.2_873.781,1696.16_854.001,1698.59_834.15,1700.85_814.34,1702.76_794.494}

@data
-57,0,-69,0,0,0,-84,0,1752.35_963.551
-55,0,-68,0,0,0,-84,0,1751.47_943.577
-60,0,-65,0,0,0,-91,0,1750.43_923.605
-56,0,-74,0,0,-91,-91,0,1750.43_903.632
-72,0,-75,0,0,-91,-83,0,1751.65_883.676
-61,0,-68,0,0,-91,-83,0,1752_853.692
-70,0,-68,0,0,0,-83,0,1752.34_833.722
-65,0,-68,0,0,0,-73,-93,1753.39_813.749
-80,0,0,0,0,0,-80,-93,1753.74_803.755
-80,0,-80,0,0,0,-73,-85,1752.69_773.783
-74,0,-84,0,0,0,-71,-85,1752.34_763.789
-74,0,-84,0,0,0,-71,-85,1744.05_758.197
-66,0,-76,0,0,0,-83,0,1734.31_755.948
-71,0,-80,0,0,0,-93,0,1714.86_751.279
-61,0,-80,0,0,0,-91,0,1685.59_744.878
-70,0,-80,0,0,0,-81,0,1675.84_742.628
-70,0,0,0,0,0,-81,0,1645.88_741.233
-64,0,0,0,0,0,-87,-82,1626.09_738.451
-60,0,0,0,0,0,-84,-82,1596.18_736.185
-64,0,0,0,0,-94,-73,-77,1566.2_736.708
-58,0,0,0,0,-94,-64,-93,1536.35_734.271
-60,0,0,0,0,-94,-61,-93,1516.4_733.051
-60,0,0,0,0,0,-70,-73,1486.46_731.657
-80,0,0,0,0,0,-74,-73,1456.63_728.521
-72,0,0,0,-87,0,-78,-73,1406.77_725.211
-73,0,0,-90,-87,0,-69,-73,1386.95_722.6
-73,0,0,-90,-73,-85,-77,-83,1369.56_731.65
-71,0,0,-90,-73,-85,-74,-83,1362.85_760.712
-74,0,0,0,-73,-85,-79,-83,1363.9_770.657
-70,0,0,0,-74,-77,-79,-83,1366.34_800.544
-70,0,0,0,-74,-76,-92,-79,1367.56_830.491
-62,0,0,0,-83,-76,-92,-93,1368.78_860.401
-66,0,0,0,-74,-76,-92,-93,1369.3_890.339
-66,0,0,-75,-74,-73,0,-81,1369.47_920.295
-65,0,0,-75,-64,-72,0,-81,1368.26_960.165
-58,0,0,-67,-57,-69,0,-81,1371.04_1010.03
-56,0,0,-67,-64,-68,0,-94,1372.61_1039.99
-64,0,0,-67,-68,-68,0,-94,1371.22_1069.91
-63,0,-86,-63,-57,-61,0,-94,1370.52_1089.82
-69,0,-88,-61,-54,-68,0,0,1375.05_1129.55
-66,0,-83,-55,-54,-62,0,0,1392.93_1136.05
-65,0,-76,-61,-60,-64,0,0,1412.8_1134.14
-65,0,-76,-68,-68,-68,0,0,1472.53_1129.79
-65,0,-78,-73,-72,-63,0,0,1492.49_1128.74
-63,0,-81,-73,-62,-66,0,0,1512.45_1127.52
-59,0,-75,-73,-67,-63,0,0,1542.43_1127.52
-57,0,-75,-73,-67,-65,0,0,1572.4_1128.22
-63,0,-72,-75,-67,-62,0,0,1592.3_1126.83
-62,0,-76,-71,-68,-66,0,0,1622.23_1125.08
-57,0,-74,-79,-72,-69,0,0,1652.15_1123.52
-61,0,-68,-79,-72,-62,0,0,1672.15_1123.69
-68,0,-72,-79,-70,-65,0,0,1692.15_1123.34
-58,0,-74,0,-70,-66,0,0,1722.09_1122.29
-63,0,-72,0,-74,-66,0,0,1741.63_1118.32
-63,0,-79,0,-71,-75,-95,0,1751.48_1101.93
-63,0,-77,0,-78,-76,-95,0,1752.35_1061.96
-57,0,-82,0,-78,-76,-95,0,1753.05_1031.97
-53,0,-75,0,-78,-79,0,0,1754.1_1012
-53,0,-73,0,0,-79,0,0,1754.97_992.023
-57,0,-71,0,0,-79,0,0,1758.97_962.295
-57,0,-71,0,0,-79,0,0,1758.97_962.295
-65,0,-75,0,0,-92,0,0,1762.63_872.497
-63,0,-73,0,0,-92,-87,0,1764.2_842.56
-66,0,-73,0,0,-92,-70,0,1765.25_812.599
-86,0,-84,0,0,-92,-70,0,1764.55_792.624
-70,0,-84,0,0,0,-75,0,1763.85_762.639
